end station id,station_name,station_latitude,station_longitude,sitetype
3160,Central Park West & W 76 St,40.77896784,-73.97374737,Station
305,E 58 St & 3 Ave,40.76095756,-73.96724467,Station
485,W 37 St & 5 Ave,40.75038009,-73.98338988,Station
3314,W 95 St & Broadway,40.7937704,-73.971888,Station
3316,W 104 St & Amsterdam Ave - 1,40.7989937,-73.96621738,Station
3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,Station
2008,Little West St & 1 Pl,40.70569254,-74.01677685,Station
146,Hudson St & Reade St,40.71625008,-74.0091059,Station
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,Station
495,W 47 St & 10 Ave,40.76269882,-73.99301222,Station
405,Washington St & Gansevoort St,40.739323,-74.008119,Station
494,W 26 St & 8 Ave,40.74734825,-73.99723551,Station
536,1 Ave & E 30 St,40.74144387,-73.97536082,Station
3223,E 55 St & 3 Ave,40.75899656,-73.96865398,Station
3533,St. Nicholas Ave & W 126 St,40.8114323,-73.9518776,Station
248,Laight St & Hudson St,40.72185379,-74.00771779,Station
3461,Murray St & Greenwich St,40.71485151,-74.01122332,Station
508,W 46 St & 11 Ave,40.76341379,-73.99667444,Station
3372,E 74 St & 1 Ave,40.7689738,-73.95482273,Station
302,Avenue D & E 3 St,40.72082834,-73.97793172,Station
3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,Station
440,E 45 St & 3 Ave,40.75255434,-73.97282625,Station
3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,Station
3434,W 88 St & West End Ave,40.79025417,-73.9771834,Station
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Station
3431,E 35 St & 3 Ave,40.746524,-73.977885,Station
470,W 20 St & 8 Ave,40.74345335,-74.00004031,Station
3176,W 64 St & West End Ave,40.77452835,-73.98753759,Station
3140,1 Ave & E 78 St,40.77140426,-73.9535166,Station
496,E 16 St & 5 Ave,40.73726186,-73.99238967,Station
3658,W 18 St & 9 Ave,40.74353373,-74.00367558,Station
462,W 22 St & 10 Ave,40.74691959,-74.00451887,Station
456,E 53 St & Madison Ave,40.7597108,-73.97402311,Station
3437,Riverside Dr & W 91 St,40.79313481,-73.97700369,Station
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,Station
3235,E 41 St & Madison Ave,40.75216528,-73.97992194,Station
345,W 13 St & 6 Ave,40.73649403,-73.99704374,Station
363,West Thames St,40.70834698,-74.01713445,Station
518,E 39 St & 2 Ave,40.74780373,-73.9734419,Station
253,W 13 St & 5 Ave,40.73543934,-73.99453948,Station
3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,Station
509,9 Ave & W 22 St,40.7454973,-74.00197139,Station
3307,West End Ave & W 94 St,40.7941654,-73.974124,Station
402,Broadway & E 22 St,40.7403432,-73.98955109,Station
394,E 9 St & Avenue C,40.72521311,-73.97768752,Station
527,E 33 St & 2 Ave,40.744023,-73.976056,Station
3366,West End Ave & W 107 St,40.8021174,-73.96818053,Station
3162,W 78 St & Broadway,40.78339981,-73.98093133,Station
3244,University Pl & E 8 St,40.73143724,-73.99490342,Station
