bikeid,Trip Count,Average Trip Duration
14529.0,1481,843.2741390952059
14530.0,1021,1337.2546523016651
14531.0,482,811.6701244813278
14532.0,982,837.2953156822811
14533.0,465,748.5376344086021
14534.0,938,951.0692963752665
14535.0,186,731.0645161290323
14536.0,470,800.6872340425532
14537.0,1236,946.296925566343
14539.0,282,871.5106382978723
14540.0,1109,1185.2596934174933
14541.0,1338,1386.7152466367713
14544.0,639,1148.735524256651
14545.0,1246,956.6725521669342
14547.0,413,691.7845036319612
14548.0,465,815.247311827957
14549.0,881,1192.0715096481272
14550.0,784,884.2295918367347
14551.0,1279,840.2689601250977
14552.0,682,838.0953079178886
14553.0,1425,865.2280701754386
14555.0,1121,869.0909901873327
14556.0,394,789.0583756345178
14558.0,979,950.555669050051
14559.0,539,909.2690166975881
14561.0,1178,1498.6867572156198
14562.0,1277,1164.018010963195
14563.0,946,1937.2663847780127
14565.0,692,855.8670520231213
14566.0,560,913.6767857142858
14567.0,1037,828.8756027000965
14568.0,886,830.734762979684
14570.0,1160,946.8
14572.0,596,1816.7147651006712
14573.0,1113,869.973944294699
14574.0,765,816.9738562091503
14575.0,433,775.5704387990762
14576.0,1194,825.1624790619766
14577.0,890,809.8550561797753
14578.0,1118,844.2710196779964
14579.0,1451,961.0854583046175
14580.0,1286,821.748833592535
14581.0,887,894.0180383314544
14582.0,1382,871.5296671490594
14583.0,674,865.6097922848664
14584.0,777,1984.4877734877734
14585.0,829,753.0084439083233
14586.0,1431,1282.0041928721173
14587.0,1309,919.3391902215432
14588.0,755,924.2715231788079
14589.0,195,730.374358974359
14590.0,1184,860.3944256756756
14591.0,1077,1021.3611884865367
14592.0,1035,798.8599033816425
14593.0,1268,1059.4384858044164
14594.0,937,996.4909284951974
14595.0,555,835.9081081081081
14596.0,1148,1130.3893728222997
14597.0,1047,895.7717287488061
14598.0,1093,858.8591033851784
14599.0,1013,1138.8430404738401
14600.0,1037,900.6354869816779
14601.0,1071,854.0943043884221
14602.0,1270,985.4244094488189
14603.0,1068,804.1694756554307
14604.0,815,820.2171779141104
14607.0,970,818.6907216494845
14608.0,943,887.1930010604453
14611.0,880,3266.1
14612.0,1208,864.3865894039735
14613.0,887,893.9165727170237
14615.0,954,815.6687631027254
14616.0,840,790.7714285714286
14617.0,183,701.0218579234972
14618.0,770,870.0870129870129
14619.0,710,895.4464788732395
14620.0,1186,920.6526138279933
14622.0,227,817.7400881057268
14624.0,833,916.3769507803121
14625.0,1205,890.9925311203319
14626.0,1450,853.1579310344828
14627.0,1512,1065.9742063492063
14628.0,1351,861.9296817172465
14629.0,1669,848.6716596764529
14630.0,948,872.1286919831224
14631.0,850,792.2670588235294
14632.0,966,1048.1884057971015
14633.0,1206,1344.6500829187396
14634.0,1039,911.2521655437921
14635.0,659,771.2913505311077
14636.0,764,974.3704188481676
14639.0,1209,1047.1877584780812
14640.0,1013,810.7996051332675
14641.0,1358,845.9786450662739
14644.0,653,4271.497702909648
14645.0,575,775.4573913043479
14646.0,773,829.5109961190168
14647.0,1197,878.5187969924812
14648.0,1258,886.8489666136725
14649.0,444,917.813063063063
14650.0,1569,792.3371574251115
14651.0,1212,859.7755775577558
14652.0,825,820.9078787878788
14653.0,808,842.134900990099
14654.0,1301,871.1491160645658
14655.0,1227,898.0945395273023
14656.0,1014,6715.53550295858
14657.0,616,1748.827922077922
14658.0,789,919.5678073510774
14660.0,1230,818.7203252032521
14661.0,738,1599.9634146341464
14663.0,1112,871.6609712230215
14664.0,987,911.3637284701115
14665.0,1321,827.0280090840273
14666.0,666,796.1756756756756
14668.0,269,857.9219330855019
14670.0,866,833.8163972286375
14671.0,1226,858.5986949429038
14672.0,849,839.9964664310954
14673.0,1632,829.1893382352941
14674.0,1099,1271.8043676069153
14675.0,1229,858.1659886086248
14676.0,633,752.473933649289
14677.0,924,808.7229437229437
14679.0,336,753.8065476190476
14680.0,1088,824.6488970588235
14683.0,1413,804.418966737438
14684.0,683,893.0585651537335
14685.0,610,829.5081967213115
14686.0,1202,1163.675540765391
14687.0,556,797.3039568345324
14688.0,518,933.1332046332046
14689.0,383,789.9608355091384
14691.0,990,835.0616161616161
14693.0,95,719.8315789473684
14694.0,1207,1120.4349627174813
14695.0,508,720.8405511811023
14696.0,837,869.9689366786141
14697.0,1133,962.9240953221536
14698.0,900,912.5888888888888
14699.0,532,1082.7593984962407
14700.0,1224,905.8725490196078
14701.0,778,813.0809768637532
14702.0,655,1056.9389312977098
14704.0,807,851.8847583643122
14705.0,1320,936.1136363636364
14706.0,920,898.7076086956522
14707.0,1211,914.9075144508671
14708.0,169,1528.5207100591715
14709.0,355,1772.2676056338028
14710.0,1386,1234.4437229437228
14711.0,478,1417.05230125523
14714.0,1318,908.4969650986343
14715.0,1075,868.4158139534884
14716.0,657,800.1811263318112
14717.0,898,1017.5846325167038
14718.0,931,806.3308270676691
14719.0,757,915.1941875825628
14720.0,1025,793.579512195122
14721.0,1115,1546.2089686098655
14722.0,1042,860.8944337811901
14723.0,1213,1588.0420445177247
14725.0,417,836.5635491606714
14726.0,1269,863.5689519306541
14727.0,762,1017.3490813648294
14728.0,610,835.5622950819672
14729.0,617,766.0437601296596
14730.0,515,929.821359223301
14731.0,793,1265.484237074401
14732.0,1102,870.5471869328494
14733.0,717,788.9930264993027
14734.0,1256,833.3296178343949
14736.0,1544,890.035621761658
14737.0,1375,857.7054545454546
14738.0,1015,1868.5931034482758
14740.0,1394,866.5860832137733
14741.0,784,913.2244897959183
14742.0,1171,837.9803586678053
14743.0,1017,1143.441494591937
14759.0,954,1121.9004192872117
14760.0,1043,911.4765100671141
14761.0,1029,1071.1632653061224
14762.0,908,838.7301762114538
14763.0,1143,917.2160979877515
14764.0,658,830.6413373860182
14765.0,701,881.4079885877318
14766.0,1281,986.5644028103045
14767.0,1060,872.6896226415095
14768.0,1327,921.2773172569706
14769.0,1046,807.3919694072657
14771.0,1002,813.9041916167664
14772.0,1128,1108.1205673758866
14773.0,1070,1901.9943925233645
14774.0,1220,1054.3344262295082
14775.0,1080,858.7416666666667
14776.0,828,945.8538647342995
14777.0,830,803.3168674698795
14778.0,1428,868.0973389355743
14780.0,1178,799.3531409168081
14781.0,815,800.5141104294479
14782.0,1354,878.3700147710488
14783.0,692,900.878612716763
14785.0,980,779.5265306122449
14786.0,627,918.5023923444976
14788.0,1094,3400.489945155393
14789.0,18,877.3888888888889
14790.0,1154,963.4038128249566
14791.0,563,751.5150976909414
14792.0,1205,834.1892116182572
14793.0,882,887.4988662131519
14795.0,1194,795.3098827470686
14797.0,938,1469.4562899786781
14798.0,1469,1321.4023144996597
14799.0,378,649.7804232804233
14802.0,682,1497.5879765395894
14804.0,1307,1062.6426931905125
14805.0,730,872.6438356164383
14806.0,879,854.6313993174061
14807.0,1325,824.3018867924528
14808.0,1344,948.1071428571429
14809.0,1045,898.9071770334929
14811.0,1185,863.671729957806
14814.0,1188,879.7188552188552
14815.0,1227,912.0570497147514
14816.0,473,768.2093023255813
14817.0,1285,838.6793774319066
14819.0,816,842.5674019607843
14820.0,931,851.983888292159
14821.0,675,809.9911111111111
14823.0,989,1080.74216380182
14824.0,928,909.8189655172414
14826.0,774,819.7609819121448
14827.0,1211,815.7390586292321
14828.0,1221,811.4045864045864
14829.0,1073,857.9906803355079
14831.0,1198,852.0467445742905
14832.0,578,855.3269896193772
14833.0,1040,1504.8355769230768
14835.0,1024,950.2138671875
14838.0,1379,986.0188542422045
14839.0,1524,1104.25
14841.0,1175,852.9974468085106
14842.0,1042,891.1362763915547
14843.0,1126,958.8863232682061
14849.0,1145,831.4157205240175
14851.0,885,833.574011299435
14852.0,403,877.1240694789082
14853.0,912,1454.8092105263158
14854.0,975,908.723076923077
14855.0,848,1040.8278301886792
14856.0,834,812.5455635491606
14857.0,1152,873.8932291666666
14858.0,862,799.0185614849188
14860.0,1153,1184.1075455333912
14861.0,1141,808.2559158632778
14862.0,1201,882.781848459617
14863.0,1046,989.7820267686425
14865.0,1148,819.2325783972126
14866.0,613,824.4518760195758
14868.0,1081,1074.9694727104534
14869.0,541,1143.268022181146
14870.0,573,824.2530541012217
14873.0,1335,866.6404494382023
14875.0,1157,1013.0501296456353
14876.0,1449,827.095928226363
14877.0,1256,897.375
14878.0,1330,876.1135338345865
14879.0,887,901.7260428410372
14881.0,1149,899.544821583986
14882.0,964,919.5850622406639
14883.0,1016,939.8129921259842
14884.0,1445,851.642214532872
14886.0,1559,860.0673508659397
14887.0,1147,1101.3129904097646
14888.0,838,938.5620525059666
14889.0,1280,878.546875
14890.0,941,856.8108395324123
14891.0,809,806.0469715698393
14892.0,911,858.2447859495061
14893.0,140,684.7
14895.0,1010,1083.8762376237623
14898.0,1488,822.9603494623656
14899.0,967,912.4912099276112
14900.0,1424,867.2830056179776
14901.0,1137,929.9604221635884
14903.0,888,834.4515765765766
14904.0,1096,803.4406934306569
14905.0,540,826.3222222222222
14906.0,868,858.9942396313364
14907.0,951,871.1188222923239
14908.0,809,820.0321384425216
14909.0,777,845.5868725868726
14910.0,1008,870.6845238095239
14911.0,1218,892.5541871921182
14912.0,1238,836.5831987075929
14913.0,1275,834.4054901960784
14914.0,792,901.0972222222222
14915.0,1270,819.7149606299213
14916.0,965,3290.4507772020725
14917.0,121,684.2892561983471
14918.0,930,940.8677419354839
14919.0,1143,861.9685039370079
14920.0,1172,820.231228668942
14921.0,1267,1162.0363062352012
14922.0,1242,1721.4919484702093
14923.0,580,1474.655172413793
14924.0,1025,933.4848780487805
14926.0,1355,864.1881918819188
14927.0,1216,976.203125
14928.0,771,1269.9688715953307
14929.0,537,2421.3370577281194
14930.0,465,792.2623655913978
14931.0,860,864.7848837209302
14934.0,1136,891.5721830985915
14935.0,1247,831.2678428227747
14936.0,1045,925.7043062200956
14937.0,949,904.0653319283456
14938.0,1093,817.935956084172
14939.0,1284,896.5233644859813
14940.0,259,668.957528957529
14941.0,639,931.5211267605633
14942.0,502,776.402390438247
14943.0,1315,1184.0152091254754
14944.0,982,755.4195519348269
14945.0,998,942.5511022044088
14946.0,1175,868.12
14947.0,1133,984.0105913503971
14948.0,917,825.3860414394766
14949.0,24,444.6666666666667
14950.0,674,867.7448071216617
14951.0,647,1003.5749613601237
14953.0,95,558.7473684210527
